text	pmcid	article_version	paragraph	sentence_range	rel	straininfo_si_id	straininfo_taxon	word_strain_qc	ner	word_qc_group	ontology_id	ontology_label	score_rel	ner_score	score_strain	strain_taxonomy_id	strain_taxonomy_label
To gain insight into the metabolism of diatoms we have selected cultures from a widest systematic range of diatom lineages ever sampled: Amphitetras antediluviana , Biddulphia biddulphiana , Cerataulina daemon , Chaetoceros simplex , Eunotogramma sp ., Hemiaulus sinensis , Leptocylindrus danicus , Rhizosolenia setigera , Thalassionema frauenfeldii , Thalassiosira pseudonana (two strains CCMP1007 and CCMP1335) and Thalassiosira weissflogii (two strains CCMP1587 and CCMP1336) and studied their metabolome under nitrogen-rich and nitrogen-limiting conditions.	PMC4595471	PMC4595471.1	5	5	STRAIN-ORGANISM:INHABITS	211678	Conticribra weissflogii	ccmp1336	ORGANISM	thalassiosira weissflogii	NCBITaxon:1577725	Conticribra weissflogii	0.9994207620620728	0.9541432857513428	0.9670809507369995	NCBITaxon:1577725	Conticribra weissflogii
To gain insight into the metabolism of diatoms we have selected cultures from a widest systematic range of diatom lineages ever sampled: Amphitetras antediluviana , Biddulphia biddulphiana , Cerataulina daemon , Chaetoceros simplex , Eunotogramma sp ., Hemiaulus sinensis , Leptocylindrus danicus , Rhizosolenia setigera , Thalassionema frauenfeldii , Thalassiosira pseudonana (two strains CCMP1007 and CCMP1335) and Thalassiosira weissflogii (two strains CCMP1587 and CCMP1336) and studied their metabolome under nitrogen-rich and nitrogen-limiting conditions.	PMC4595471	PMC4595471.1	5	5	STRAIN-ORGANISM:INHABITS	212090	Conticribra weissflogii	ccmp1587	ORGANISM	thalassiosira weissflogii	NCBITaxon:1577725	Conticribra weissflogii	0.998504638671875	0.9541432857513428	0.9538492560386658	NCBITaxon:1577725	Conticribra weissflogii
Isolate CBS 177.39, listed as Coprinus quadrifidus , was obtained from The CBS Fungal Biodiversity Centre and its internal transcribed spacer region (S1 Text in S1 File ) confirmed the isolate as Coprinopsis strossmayeri , showing 99.69% identity to C . strossmayeri isolate PK7630 (accession number MH752456.1 ). The fungus was maintained on potato dextrose agar (potato dextrose broth 24 g/L, agar 15 g/L) at 20°C.	PMC7135263	PMC7135263.1	6	1-2	STRAIN-ORGANISM:INHABITS	152568	Coprinopsis variegata	cbs 177.39	ORGANISM	coprinus quadrifidus	NCBITaxon:104335	Coprinopsis variegata	0.9975751042366028	0.9797730445861816	0.8565191328525543	NCBITaxon:104335	Coprinopsis variegata
The other strains used were Komagataella phaffii X-33 (formerly Pichia pastoris, ThermoFisher Scientific, Waltham, MA, USA); Scheffersomyces stipitis CBS 6054 (CBS Fungal Biodiversity Centre, Utrecht, The Netherlands); Zygosaccharomyces bailii ATCC 8766 and Zygosaccharomyces parabailii ATCC 60483 (ATCC Virginia, Manassas, VA, USA); Rhodosporidium toruloides DSM 4444, Rhodotorula glutinis DSM 10134, Cryptococcus curvatus DSM 70022, and Aureobasidium pullulans DSM P268 from DSMZ (German Collection of Microorganisms and Cell Cultures, GmbH, Braunschweig, Germany); and Kluyveromyces marxianus NBRC1777 (Biological Resource Center, NITE, NBRC, Tokyo, Japan).	PMC7908450	PMC7908450.1	13	2	STRAIN-ORGANISM:INHABITS	76106	Cutaneotrichosporon curvatum	dsm 70022	ORGANISM	cryptococcus curvatus	NCBITaxon:57679	Cutaneotrichosporon curvatum	0.9967648983001709	0.9512051343917847	0.7819533944129944	NCBITaxon:57679	Cutaneotrichosporon curvatum
Yeast strains Cutaneotrichosporon oleaginosus (ATCC 20509), Cryptococcus curvatus (CBS 5324) and Rhodosporidium toruloides (NP11) were maintained on yeast peptone dextrose (YPD) agar (20 g/L peptone, 10 g/L yeast extract, 20 g/L glucose, 20 g/L agar) at 4 °C for short-term storage.	PMC7378118	PMC7378118.1	14	1	STRAIN-ORGANISM:INHABITS	77033	Cutaneotrichosporon curvatum	cbs 5324	ORGANISM	cryptococcus curvatus	NCBITaxon:57679	Cutaneotrichosporon curvatum	0.9991186261177063	0.803274005651474	0.8457548916339874	NCBITaxon:57679	Cutaneotrichosporon curvatum
GenBank accession numbers: Trichosporon loubieri ( AB001759 ), Trichosporon dulcitum ( AB001755 ), Trichosporon gracile ( AB001756 ), Trichosporon multisporum ( AB001764 ), Cryptococcus fragicola ( AB035588 ), Trichosporon ovoides ( AB001765 ), Bullera formosensis ( AB072235 ), Kockovaella calophylli ( AB042222 ), Trichosporon loubieri strain ATCC MYA-26 ( AY101607 ), T richosporon loubieri strain CBS 7065 ( AF444438 ), Trichosporon mycotoxinivorans ( AJ601389 ), Trichosporon multisporum strain CBS2495 ( AF414695 ), Trichosporon gracile strain CBS 8519 ( AF444456 ), Trichosporonales sp. LM117 ( EF060484 ), Trichosporon otae ( AB180196 ), Cryptococcus laurentii strain WM 601 ( EF568051 ), Cryptococcus curvatus strain ATCC 10567 ( EU266558 ).	PMC3859043	PMC3859043.1	13	3	STRAIN-ORGANISM:INHABITS	361285	Cutaneotrichosporon curvatum	atcc 10567	ORGANISM	cryptococcus curvatus	NCBITaxon:57679	Cutaneotrichosporon curvatum	0.9950273633003235	0.9853182733058929	0.8169922232627869	NCBITaxon:57679	Cutaneotrichosporon curvatum
Also revertants were characterized for their modified FA spectrum [ 81 ] and growth on whey permeate [ 82 ]. Fatty acid mutants were also generated by mutagenesis with EMS [ 83 ] and characterized (Table 1 ). As opposed to the description of Ochsner et al. [ 56 ] for strain Trichosporon dermatis (DSM70698), plasmid transformation into C. oleaginosus did not yield stable transformants (data not published).	PMC5657120	PMC5657120.1	47	3-5	STRAIN-ORGANISM:INHABITS	114186	Cutaneotrichosporon dermatis	dsm70698	ORGANISM	trichosporon dermatis	NCBITaxon:129132	Cutaneotrichosporon dermatis	0.8225457668304443	0.9781792759895325	0.9205853939056396	NCBITaxon:129132	Cutaneotrichosporon dermatis
The strains used as controls were Candida glabrata (ATCC MYA 2950), Candida lusitaniae (ATCC 34449), Candida utilis (ATCC 9950), Geotrichum capitatum (ATCC 28576), Kloeckera apis (ATCC 32857), Prototheca wickerhamii (ATCC 16529), and Trichosporon mucoide (ATCC 204094) 7 .	PMC4804554	PMC4804554.1	12	1	STRAIN-ORGANISM:INHABITS	34650	Cyberlindnera jadinii	atcc 9950	ORGANISM	candida utilis	NCBITaxon:4903	Williopsis jadinii	0.9998948574066162	0.9655289947986603	0.8635408282279968	NCBITaxon:4903	Williopsis jadinii
Poria placenta (strains AM 36 and AM 38), Inonotus radiatus (AM 70), Armillaria mellea (strains AM 296 and AM 461), Laetiporus sulphureus (strains AM 498 and AM 515) and Pholiota aurivella (AM 522) were obtained from the collection of Wrocław University of Environmental and Life Sciences (Wrocław, Poland). Pycnoporus cinnabarinus (DSM 3022), Pycnoporus cinnabarinus (DSM 15225), Pleurotus sapidus (DSM 8266) and Agrocybe aegerita (DSM 22459) were purchased from DSMZ GmbH collection (Braunschweig, Germany).	PMC10784365	PMC10784365.1	15	1-2	STRAIN-ORGANISM:INHABITS	407851	Cyclocybe aegerita	dsm 22459	ORGANISM	agrocybe aegerita	NCBITaxon:1973307	Cyclocybe aegerita	0.9996498823165894	0.9895967841148376	0.9336885511875153	NCBITaxon:1973307	Cyclocybe aegerita
The species are presented according to the phylogenetic analysis presented by Kurtzman [16] : Saccharomyces pastorianus Weihenstephan 34/70, Saccharomyces cerevisiae CBS 8340 (CEN.PK 113-7D), Saccharomyces paradoxus CBS 432 (NRRL Y-17217), Saccharomyces mikatae CBS 8839, Saccharomyces uvarum CECT12600, Saccharomyces eubayanus CBS 12357, Saccharomyces servazzii CBS 4311 (NRRL Y-12661), Kazachstania lodderae CBS 2757 (NRRL Y-8280), Kazachstania exiguus CBS 1514, Kazachstania barnettii (NRRL Y-27223), Naumovozyma castellii CBS 4309 (NRRL Y-12630), Nakaseomyces glabrata CBS 138 (NRRL Y-1417), Nakaseomyces delphensis CBS 2170 (NRRL Y-2379), Nakaseomyces bacillisporus CBS 7720 (NRRL Y-17846), Nakaseomyces castellii CBS 4332 (NRRL Y-17070), Tetrapisispora blattae CBS 6284 (NRRL Y-10934), Tetrapisispora phaffii CBS 4417 (NRRL Y-8282), Tetrapisispora iriomotensis CBS 8762 (IFO 10929), Vanderwaltozyma polysporus CBS 2163 (NRRL Y-8283), Vanderwaltozyma yarrowii (NRRL Y-17763), Zygosaccharomyces bisporus CBS 702 (NRRL Y-12626), Zygosaccharomyces rouxii CBS 732 (NRRL Y-229), Zygotorulaspora florentinus CBS 746 (NRRL Y-1560), Zygotorulaspora mrakii CBS 4218 (NRRL Y-12654), Torulaspora franciscae CBS 2926 (NRRL Y-6686), Lachancea fermentati CBS 4506 (NRRL Y-7434), Lachancea thermotolerans CBS 6340 (NRRL Y-8284), Lachancea waltii CBS 6430 (NRRL Y-8285), Lachancea kluyverii UWOPS79-150, Lachancea kluyvery CBS 3082 (NRRL Y-12651), Kluyveromyces aestuarii CBS 4438 (NRRL YB-4510), Kluyveromyces nonfermentans CBS 8778 (NRRL Y-27343), Kluyveromyces wickerhamii CBS 2745 (NRRL Y-8286), Kluyveromyces lactis CBS 2359 (NRRL Y-1140), Kluyveromyces marxianus CBS 712 (NRRL Y-8281), Kluyveromyces marxianus CBS 397, Kluyveromyces marxianus CBS 2762, Kluyveromyces dobzhanskii CBS 2104 (NRRL Y-1974), Eremothecium coryli CBS 2608 (NRRL Y-12970), Eremothecium sinecaudum CBS 8199 (NRRL Y-17231).	PMC3711898	PMC3711898.1	17	2	STRAIN-ORGANISM:INHABITS	90817	Cylindricascospora bacillispora	cbs 7720	ORGANISM	nakaseomyces bacillisporus	NCBITaxon:51660	Cylindricascospora bacillispora	0.9999001026153564	0.7974138259887695	0.7256041765213013	NCBITaxon:51660	Cylindricascospora bacillispora
Hamamotoa (formerly Sporobolomyces ) singularis ATCC 24193 was obtained from the American Type Culture Collection (Manassas, Virginia, USA). Rhodotorula minuta (Rm) CBS 319 was obtained from the CBS-KNAW culture collection (Utrecht, The Netherlands). Sirobasidium magnum (Sm) JCM 6876 was obtained from the Japan Collection of Microorganisms (Ibaraki, Japan). Sterigmatomyces elviae (Se) IFO 1843 was obtained from the Institute for Fermentation (Osaka, Japan).	PMC9142197	PMC9142197.1	7	1-4	STRAIN-ORGANISM:INHABITS	64185	Cystobasidium minutum	cbs 319	ORGANISM	rhodotorula minuta	NCBITaxon:29899	Cystobasidium minutum	0.999220609664917	0.7626811265945435	0.5315704196691513	NCBITaxon:29899	Cystobasidium minutum
In particular, the reference sequences representing the relevant species used to build alignments for species identification were: for D. eres and D . foeniculina ( D. corylina strain CBS121124 and only for ACT gene D. helianthi strain AR4131), N. parvum ( Diplodia seriata strain ASJ297; or Botryosphaeria dothidea strains HL1 and HPLW1 for the tub-2 and ACT genes, respectively), Pestalotiopsis sp. ( Sordaria alcina strain CBS 109460), Phomopsis sp. ( Valsa japonica isolate CBS375.29) and Trametes versicolor ( Grifola frondosa isolate WC835) ( Table 3 ).	PMC9147037	PMC9147037.1	44	1	STRAIN-ORGANISM:INHABITS	159078	Cytospora japonica	cbs375.29	ORGANISM	valsa japonica	NCBITaxon:1928367	Cytospora japonica	0.9998817443847656	0.9397155940532684	0.6592092514038086	NCBITaxon:1928367	Cytospora japonica
For this study, the ITS were sequenced for Cytospora sp. CR200, Cytospora cincta ATCC 32673, Cytospora chrysosperma ATCC 56609, Cytospora leucostoma ATCC 42549 (deposited as Leucostoma persoonii ), Cytospora rhizophorae ATCC 38475, and Cytospora sacchari ATCC 32322 and assigned the following GenBank accessions: DQ996039-DQ996044 .	PMC2365685	PMC2365685.1	16	1	STRAIN-ORGANISM:INHABITS	256255	Cytospora leucostoma	cytospora leucostoma atcc 42549	ORGANISM	leucostoma persoonii	NCBITaxon:1230097	Cytospora leucostoma	0.9996498823165894	0.9314501881599426	0.8438295722007751	NCBITaxon:1230097	Cytospora leucostoma
The amino acid sequences were downloaded from the NCBI database ( https://www.ncbi.nlm.nih.gov/ ) for the HMGR enzymes of the following organisms: P. mevalonii ( WP_016714288 ), Arabidopsis thaliana ( NP_177775 ), D. melanogaster ( NP_732900 ), H. sapiens ( XP_011541659 ), Mus musculus ( NP_001347095 ), Rattus norvegicus ( NP_037266 ), U. maydis 521 ( XP_011389590 ), S. pombe ( NP_588235 ), Y. lipolytica CLIB122 ( XP_503558 ), C. auris ( XP_028890531 ), C. haemulonii ( XP_025340375.1 ) , C. lusitaniae ATCC 42,720 ( XP_002615608 ), M. guilliermondii ATCC 6260 ( XP_001482757 ), D. hansenii CBS767 (also called Candida famata ) ( XP_458872 ), C. parapsilosis ( KAF6043359 ), C. orthopsilosis Co 90–125 ( XP_003868277 ), C. tropicalis MYA-3404 ( XP_002550050 ), C. albicans SC5314 ( XP_713636 ), C. dubliniensis CD36 ( XP_002417024 ), C. kefyr ( QGN16198 ), K. lactis NRRL Y-1140 ( XP_451740 ), C. glabrata CBS138 ( XP_449268 ), S. cerevisiae S288c HMG1( NP_013636 ) and S. cerevisiae 2288c HMG2 ( NP_013555 ) 31 .	PMC8531335	PMC8531335.1	38	1	STRAIN-ORGANISM:INHABITS	45698	Debaryomyces hansenii	cbs767	ORGANISM	candida famata	NCBITaxon:4959	Debaryomyces hansenii	0.9998096823692322	0.8914440274238586	0.8008382320404053	NCBITaxon:4959	Debaryomyces hansenii
Axenic cultures of M. aeruginosa PCC 7806 and M. aeruginosa PCC 7005 were obtained from the Pasteur Culture Collection of Cyanobacteria (PCC), Paris, France. The green alga, D. subspicatus SAG 86.81 (formerly Scenedesmus subspicatus ), was provided by the SAG Culture Collection of Algae (Sammlung von Algenkulturen), University of Göttingen, Germany.	PMC6732120	PMC6732120.1	10	1-2	STRAIN-ORGANISM:INHABITS	346272	Desmodesmus subspicatus	d. subspicatus sag 86.81	ORGANISM	scenedesmus subspicatus	NCBITaxon:104105	Desmodesmus subspicatus	0.9983354210853577	0.9012852311134338	0.815667062997818	NCBITaxon:104105	Desmodesmus subspicatus
Notes : The representative isolate of Phoma macrostoma var. incolorata (CBS 223.69) was genetically identical, and ecologically and morphologically highly similar to the representative isolates of P. macrostoma var. macrostoma (CBS 482.95, CBS 529.66). Phoma macrostoma var. incolorata only differs from the type variety in lacking hyphal pigmentation and having a negative reaction in NaOH ( de Gruyter et al. 2002 ), which may be related to the production of cholesterol ( Rajak & Rai 1983 ).	PMC4774273	PMC4774273.1	454	1-2	STRAIN-ORGANISM:INHABITS	162891	Didymella macrostoma	cbs 223.69	ORGANISM	phoma macrostoma var. incolorata	NCBITaxon:73002	Didymella macrostoma	0.9644556045532227	0.8997809489568075	0.7483560740947723	NCBITaxon:73002	Didymella macrostoma
Labyrinthulomycetes receive a moderate support values (BS = 70%, PP = 0.90) and appeared divided into three major groups: (1) labyrinthulida+thraustochytrida, (2) a group comprising thraustochytrida + Amphifilidae ( Amphifila marina and several freshwater environmental sequences) and (3) the group formed by Archerella flavum and Amphitrema wrightianum together with other related taxa: Diplophrys sp. ATCC50360( AF304465 ), and several environmental sequences, including PR3_4E_52 ( GQ330589 ) from a peat bog, 528-O7 ( EF586082 ) from freshwater, plus fourteen sequences from anoxic/micro-oxic deep-sea environment.	PMC3544814	PMC3544814.1	11	5	STRAIN-ORGANISM:INHABITS	351104	Diplophrys	sp. atcc50360	ORGANISM	diplophrys	NCBITaxon:138668	Diplophrys	0.9996730089187622	0.6657506823539734	0.7547457814216614	NCBITaxon:138668	Diplophrys
Notes : In the original description of Phyllosticta draconis , the ellipsoidal conidia are cited as 7 × 3 μm ( Cooke 1890 ). However, de Gruyter et al. (1998) described a representative culture of Phoma draconis (CBS 186.83), whose conidia measure 4–8.5 × 2–4 μm, which agrees with the holotype. CBS 186.83 clustered in the Epicoccum clade in Fig. 1 , and thus we treat this taxon as a new combination in the genus Epicoccum , E. draconis .	PMC4774273	PMC4774273.1	298	1-3	STRAIN-ORGANISM:INHABITS	154427	Epicoccum draconis	cbs 186.83	ORGANISM	phoma draconis	NCBITaxon:749830	Epicoccum draconis	0.8766607642173767	0.8633778095245361	0.82322558760643	NCBITaxon:749830	Epicoccum draconis
Notes : The strain CBS 181.80 was previously identified as Phoma sorghina (currently E . sorghinum ) by Aveskamp et al. (2009) . However, it is phylogenetically different from that species. Epicoccum catenisporum is morphologically characterised by the production of pycnidia as observed in several other members of Epicoccum .	PMC5725287	PMC5725287.1	115	1-3	STRAIN-ORGANISM:INHABITS	155136	Epicoccum sorghinum	cbs 181.80	ORGANISM	phoma sorghina	NCBITaxon:749593	Epicoccum sorghinum	0.9894295334815979	0.829528272151947	0.9503543376922607	NCBITaxon:749593	Epicoccum sorghinum
The neotype strain, CBS 158.58 , is also the ex-type strain of Exophiala castellanii ( de Hoog et al. 2000 ).	PMC3390897	PMC3390897.1	3629	6	STRAIN-ORGANISM:INHABITS	74400	Exophiala mansonii	cbs 158.58	ORGANISM	exophiala castellanii	NCBITaxon:91922	Exophiala mansonii	0.9993650317192078	0.9501688778400421	0.912706047296524	NCBITaxon:91922	Exophiala mansonii
Alcorn No. 77162 (BRIP 12270); Warwick, on Hordeum vulgare , 22 June 2009, K. Stephen (BRIP 52639). – C uba , Ciudad de la Habana, Santiago de las Vegas, on plant debris from forest soil, 10 Feb. 1993, R.F. Castañeda-Ruiz (culture ex-isotype of E. antillanum CBS 412.93). – G uatemala , on seed of Zea mays , Feb. 1972, unknown collector , No. Ep1 (authentic mating type ‘minus’ of Setosphaeria prolata CBS 572.73). – I ndia , Poona, from soil, unknown date, P.G.	PMC6344813	PMC6344813.1	121	43-47	STRAIN-ORGANISM:INHABITS	169061	Exserohilum prolatum	cbs 572.73	ORGANISM	setosphaeria prolata	NCBITaxon:39953	Exserohilum prolatum	0.7181004285812378	0.8619657754898071	0.7389446496963501	NCBITaxon:39953	Exserohilum prolatum
Our previous attempt to identify the metabolite biosynthesized by Nps1 was unsuccessful, and phenotypic characterization of nps1 mutants failed to link Nps1 to iron metabolism (Oide et al., 2007 ). Much earlier work described a siderophore named malonichrome that is produced by a Fusarium roseum strain (ATCC 12822) (Emery, 1980 ).	PMC4290682	PMC4290682.1	7	2-3	STRAIN-ORGANISM:INHABITS	121312	Fusarium sambucinum	atcc 12822	ORGANISM	fusarium roseum	NCBITaxon:5128	Fusarium sambucinum	0.8081429600715637	0.9450757503509521	0.9194559454917908	NCBITaxon:5128	Fusarium sambucinum
27 Quantitative Genomic DNAs were obtained from American Type Culture Collection (ATCC) (Manassas, VA USA), ZeptoMetrix (Buffalo, NY), and Waterborne (New Orleans, LA) including E. coli O157:H7 (ATCC 43895), Enteroaggregative E. coli (ATCC 23501), Enteropathogenic E. coli (ATCC 43887), Enterotoxigenic E. coli (ETEC) lt/st (ATCC 35401), Shiga-like toxin producing E. coli (STEC) stx1/stx2 (ATCC BAA-2196, ATCC 43895), Plesiomonas shigelloides (ATCC 14029), Vibrio parahaemolyticus (ATCC 17802), Vibrio vulnificus (ATCC 27562), Helicobacter pylori (ATCC 700392), Listeria spp. (ATCC 19111), Vibrio cholerae (ATCC 14035), C. difficile Toxin A/B (ATCC 9689), Salmonella spp. (ATCC 700623), Shigella /Enteroinvasive E. coli (ATCC 29930), Yersinia enterocolitica (ATCC 9610), Campylobacter jejuni (ATCC BAA-1234), Campylobacter upsaliensis (ATCC 43954), Giardia lamblia (ATCC 30957), Cryptosporodium spp. (Waterborne P102C), Entamoeba histolytica (ATCC 30459), Cyclospora cayetanensis (Zeptometrix control), Norovirus GI/GII (Zeptometrix control), Rotavirus A (ATCC VR-2104), Adenovirus F 40/41 (ATTC VR-930/931), Astrovirus (ATCC VR-3238SD), Sapovirus (I, II, IV, V) (Zeptometrix control), Candida spp. (ATCC 10231).	PMC6798489	PMC6798489.1	8	1	STRAIN-ORGANISM:INHABITS	350665	Giardia intestinalis	atcc 30957	ORGANISM	giardia lamblia	NCBITaxon:5741	Giardia duodenalis	0.9998780488967896	0.9179591536521912	0.8875117599964142	NCBITaxon:5741	Giardia duodenalis
Clade I (80 % BS) was formed by the genus Gibellulopsis , which encompassed three main subclades and two single branches. The first subclade (94 % BS) included the ex-type strains of Cephalosporium serrae CBS 290.30, Gibellulopsis piscis CBS 892.70 and Verticillium amaranthi CBS 387.35, in addition to 22 isolates from different origins (soil, plants, fungi and animals).	PMC6276054	PMC6276054.1	13	1-2	STRAIN-ORGANISM:INHABITS	120318	Gibellulopsis serrae	cbs 892.70	ORGANISM	gibellulopsis piscis	NCBITaxon:461146	Gibellulopsis serrae	0.9974787831306458	0.9474577009677887	0.8509020805358887	NCBITaxon:461146	Gibellulopsis serrae
National Collection of Yeast Cultures (NCYC) identified PI12 as an isolate of Glaciozyma antarctica based on 26S rDNA D1/D2 sequencing result where it displayed 99% sequence identity to Glaciozyma antarctica strain CBS 5942 [formerly known as Leucosporidium antarcticum strain CBS 5942 ( AF444529 )]. Phylogenetic tree analysis was created based on comparison of ITS sequence of this strain with the closest strains that are available in the database with reference to BLAST result ( Figure 3 ).	PMC4100274	PMC4100274.1	22	4-5	STRAIN-ORGANISM:INHABITS	65659	Glaciozyma antarctica	glaciozyma antarctica cbs 5942	ORGANISM	leucosporidium antarcticum	NCBITaxon:105987	Glaciozyma antarctica	0.8113025426864624	0.8072048723697662	0.831873208284378	NCBITaxon:105987	Glaciozyma antarctica
The ZEA-bound form of the Carotenoid-Binding Protein from Bombyx mori (termed BmCBP; residues 68–297 of Uniprot Q8MYA9 ) and the ECH-bound form of the Orange Carotenoid Protein 2 from Gloeocapsa sp. PCC 7428 (OCP2; residues 1–318 of Uniprot K9XH36) were obtained as electrophoretically homogeneous preparations in previous works 40 , 49 . In the final form, all proteins had His-tags cleaved off.	PMC11009388	PMC11009388.1	36	1-2	STRAIN-ORGANISM:INHABITS	39384	Gloeocapsa	sp. pcc 7428	ORGANISM	gloeocapsa	NCBITaxon:102231	Gloeocapsa	0.7254541516304016	0.8052235245704651	0.6045712828636169	NCBITaxon:102231	Gloeocapsa
Our analysis revealed that Gloeocapsa sp. BRSZ was most closely related (98.85%) to Gloeocapsa sp. PCC7428 (GenBank accession number CP003646 .1 ).	PMC11636366	PMC11636366.1	3	6	STRAIN-ORGANISM:INHABITS	39384	Gloeocapsa	sp. pcc7428	ORGANISM	gloeocapsa	NCBITaxon:102231	Gloeocapsa	0.9779887795448303	0.7667331695556641	0.7151966691017151	NCBITaxon:102231	Gloeocapsa
Another anomaly within the genus Heterocapsa was the identity of “ Gymnodinium sp.” CCMP 424, that showed species-level identity to Heterocapsa niei strain CS-36. The COI barcode of strain CS-36 showed it belonged to a Symbiodinium group [11] . However, Heterocapsa was one of the genera for which COI barcode amplification failed, so comparisons to known Heterocapsa species was not possible.	PMC3420951	PMC3420951.1	20	1-3	STRAIN-ORGANISM:INHABITS	210719	Gymnodinium	ccmp 424	ORGANISM	gymnodinium	NCBITaxon:2955	Gymnodinium	0.9997612833976746	0.8231782913208008	0.8410791456699371	NCBITaxon:2955	Gymnodinium
Based on a blastn search of NCBIs GenBank nucleotide database, the closest hit using the LSU sequence is Nigrosabulum globosum (currently H. globosa , culture CBS 268.91; GenBank MH873934.1 ; Identity = 99.36%), and the closest hit using the ITS sequence is also Nigrosabulum globosum (currently H. globosa , culture CBS 416.73; GenBank MH860723.1 , Identity = 94.17%).	PMC11182610	PMC11182610.1	1188	1	STRAIN-ORGANISM:INHABITS	165224	Hapsidospora globosa	cbs 268.91	ORGANISM	nigrosabulum globosum	NCBITaxon:95328	Hapsidospora globosa	0.9968396425247192	0.812911868095398	0.83230921626091	NCBITaxon:95328	Hapsidospora globosa
Ea . parva UAMH130 is from the lungs of a rodent in the USA, and Ea . crescens UAMH4076 is from a greenhouse source in Canada, and mated with Ea . crescens UAMH129, 349 22 . In addition, the first strictly non-pathogenic non-dimorphic species from the Ajellomycetaceae, one strain of Helicocarpus griseus (UAMH5409; a.k.a. Spiromastix grisea ) and Polytolypa hystricis (UAMH7299) were selected for whole genome sequencing. Genomic DNA was isolated from mycelial phase at 22 °C.	PMC5852033	PMC5852033.1	27	3-6	STRAIN-ORGANISM:INHABITS	155518	Helicocarpus griseus	uamh5409	ORGANISM	spiromastix grisea	NCBITaxon:121128	Helicocarpus griseus	0.9951889514923096	0.9823492765426636	0.9724388718605042	NCBITaxon:121128	Helicocarpus griseus
The species are presented according to the phylogenetic analysis presented by Kurtzman [16] : Saccharomyces pastorianus Weihenstephan 34/70, Saccharomyces cerevisiae CBS 8340 (CEN.PK 113-7D), Saccharomyces paradoxus CBS 432 (NRRL Y-17217), Saccharomyces mikatae CBS 8839, Saccharomyces uvarum CECT12600, Saccharomyces eubayanus CBS 12357, Saccharomyces servazzii CBS 4311 (NRRL Y-12661), Kazachstania lodderae CBS 2757 (NRRL Y-8280), Kazachstania exiguus CBS 1514, Kazachstania barnettii (NRRL Y-27223), Naumovozyma castellii CBS 4309 (NRRL Y-12630), Nakaseomyces glabrata CBS 138 (NRRL Y-1417), Nakaseomyces delphensis CBS 2170 (NRRL Y-2379), Nakaseomyces bacillisporus CBS 7720 (NRRL Y-17846), Nakaseomyces castellii CBS 4332 (NRRL Y-17070), Tetrapisispora blattae CBS 6284 (NRRL Y-10934), Tetrapisispora phaffii CBS 4417 (NRRL Y-8282), Tetrapisispora iriomotensis CBS 8762 (IFO 10929), Vanderwaltozyma polysporus CBS 2163 (NRRL Y-8283), Vanderwaltozyma yarrowii (NRRL Y-17763), Zygosaccharomyces bisporus CBS 702 (NRRL Y-12626), Zygosaccharomyces rouxii CBS 732 (NRRL Y-229), Zygotorulaspora florentinus CBS 746 (NRRL Y-1560), Zygotorulaspora mrakii CBS 4218 (NRRL Y-12654), Torulaspora franciscae CBS 2926 (NRRL Y-6686), Lachancea fermentati CBS 4506 (NRRL Y-7434), Lachancea thermotolerans CBS 6340 (NRRL Y-8284), Lachancea waltii CBS 6430 (NRRL Y-8285), Lachancea kluyverii UWOPS79-150, Lachancea kluyvery CBS 3082 (NRRL Y-12651), Kluyveromyces aestuarii CBS 4438 (NRRL YB-4510), Kluyveromyces nonfermentans CBS 8778 (NRRL Y-27343), Kluyveromyces wickerhamii CBS 2745 (NRRL Y-8286), Kluyveromyces lactis CBS 2359 (NRRL Y-1140), Kluyveromyces marxianus CBS 712 (NRRL Y-8281), Kluyveromyces marxianus CBS 397, Kluyveromyces marxianus CBS 2762, Kluyveromyces dobzhanskii CBS 2104 (NRRL Y-1974), Eremothecium coryli CBS 2608 (NRRL Y-12970), Eremothecium sinecaudum CBS 8199 (NRRL Y-17231).	PMC3711898	PMC3711898.1	17	2	STRAIN-ORGANISM:INHABITS	77455	Henningerozyma blattae	cbs 6284	ORGANISM	tetrapisispora blattae	NCBITaxon:1071379	Henningerozyma blattae	0.9999158382415771	0.909499317407608	0.6829110980033875	NCBITaxon:1071379	Henningerozyma blattae
Material examined : Australia , Victoria, Field Naturalists Reserve Ocean Grove, on Acacia pycnantha ( Fabaceae ) phyllode, unknown collection date, J. Withers, isolated by H.J. Swart in Aug. 1972 ( isotype of Monochaetia lutea CBS H-7353, ex-isotype culture CBS 349.73 = ATCC 26926 = IMI 168736).	PMC6298422	PMC6298422.1	204	1-4	STRAIN-ORGANISM:INHABITS	124990	Heterotruncatella lutea	cbs 349.73	ORGANISM	monochaetia lutea	NCBITaxon:2502053	Heterotruncatella lutea	0.9028668403625488	0.7502498030662537	0.9603414237499237	NCBITaxon:2502053	Heterotruncatella lutea
Typus : France , Hills of Vauville, sandy soil, collection date unknown, J. Duche ( holotype CBS H-7449, culture ex-type CBS 239.32, type culture of Spicaria carnea ).	PMC7426330	PMC7426330.1	33	1-2	STRAIN-ORGANISM:INHABITS	64914	Keithomyces carneus	cbs 239.32	ORGANISM	spicaria carnea	NCBITaxon:2741558	Keithomyces carneus	0.6913671493530273	0.934970498085022	0.9482976496219635	NCBITaxon:2741558	Keithomyces carneus
